"Order details","Order status","Order date","Product","Shipping","Sales channel"
"111-0128616-4485069 (162469259286081)","Payment Complete","6/16/2026, 6:44:27 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"111-4265494-4469007 (162381761304561)","Payment Complete","6/15/2026, 3:32:52 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"114-1547217-8994660 (162320693141161)","Payment Complete","6/14/2026, 3:01:37 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"114-3630553-4474627 (162328657405001)","Payment Complete","6/14/2026, 7:02:58 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"113-6256817-0038642 (162260146795521)","Payment Complete","6/13/2026, 2:34:55 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"112-7838921-2279444 (162081682045801)","Payment Complete","6/11/2026, 11:08:50 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"112-4923751-2405030 (161893318022161)","Payment Complete","6/9/2026, 1:48:20 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"114-8761723-5057025 (161760728125481)","Payment Complete","6/6/2026, 10:22:25 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"113-0357831-5513038 (161555009451241)","Payment Complete","6/5/2026, 7:33:32 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"113-7860913-7793049 (161474425153441)","Payment Complete","6/4/2026, 4:47:56 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"112-5880796-5203427 (161365233700881)","Payment Complete","6/2/2026, 5:35:56 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"113-7562536-3919400 (161210399066801)","Payment Complete","6/1/2026, 9:35:14 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"111-1986707-4533067 (161212589407601)","Payment Complete","6/1/2026, 3:21:45 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"113-5146603-5315421 (161214672533761)","Payment Complete","6/1/2026, 3:19:57 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"111-0651100-2261040 (161200289252161)","Payment Complete","6/1/2026, 2:26:23 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"114-5956880-9773855 (161126612050001)","Payment Complete","5/30/2026, 10:41:16 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Standard ","Ship"
"111-7375762-9379439 (161074883603721)","Payment Complete","5/29/2026, 11:15:29 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"113-1994069-2040213 (161073054915521)","Payment Complete","5/29/2026, 9:11:58 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"113-0298171-6239448 (160976470268041)","Payment Complete","5/28/2026, 10:11:13 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Standard ","Ship"
"114-8057219-0322667 (161002546688161)","Payment Complete","5/28/2026, 8:28:18 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
